Branch,latitude,longitude
District de Bamako,12.61326555,-7.984739136241295
Bandiagara,14.3505,-3.6112766
Bougouni,11.4194313,-7.4833878
Dioila,12.4863792,-6.7948799
Douentza,15.0068749,-2.9529649
Gao,16.2788129,-0.0412392
Kayes,13.8001844,-10.22455481493909
Kidal,19.802089000000002,0.7253124568557916
Kita,13.20698005,-9.388645713571428
Koulikoro,13.48200225,-7.616857001709825
Koutiala,12.3869501,-5.4600937
Ménaka,16.6516783,2.826313558679702
Mopti,14.514489000000001,-3.646458060483871
Nara,15.1712509,-7.2888666
Nioro du Sahel,15.2304528,-9.5899063
San,13.3043073,-4.8957273
Ségou,14.044200400000001,-6.02165666831183
Sikasso,11.482629,-6.860785462633452
Taoudéni,22.6762435,-3.9806686
Tessalit,20.2019542,1.0124531
Tombouctou,16.7719091,-3.0087272
