gemeentecode,veiligheidsregio_code,dac_code,dac_id
"3","1",DAC01,"1"
"10","1",DAC01,"1"
"14","1",DAC01,"1"
"1966","1",DAC01,"1"
"24","1",DAC01,"1"
"1952","1",DAC01,"1"
"1895","1",DAC01,"1"
"765","1",DAC01,"1"
"37","1",DAC01,"1"
"47","1",DAC01,"1"
"1969","1",DAC01,"1"
"1950","1",DAC01,"1"
"59","2",DAC02,"2"
"60","2",DAC02,"2"
"1891","2",DAC02,"2"
"1940","2",DAC02,"2"
"72","2",DAC02,"2"
"74","2",DAC02,"2"
"80","2",DAC02,"2"
"1970","2",DAC02,"2"
"85","2",DAC02,"2"
"86","2",DAC02,"2"
"88","2",DAC02,"2"
"90","2",DAC02,"2"
"1900","2",DAC02,"2"
"93","2",DAC02,"2"
"737","2",DAC02,"2"
"96","2",DAC02,"2"
"1949","2",DAC02,"2"
"98","2",DAC02,"2"
"1680","3",DAC03,"3"
"106","3",DAC03,"3"
"1681","3",DAC03,"3"
"109","3",DAC03,"3"
"114","3",DAC03,"3"
"118","3",DAC03,"3"
"119","3",DAC03,"3"
"1731","3",DAC03,"3"
"1699","3",DAC03,"3"
"1730","3",DAC03,"3"
"1701","3",DAC03,"3"
"1690","3",DAC03,"3"
"148","4",DAC04,"4"
"150","4",DAC04,"4"
"160","4",DAC04,"4"
"166","4",DAC04,"4"
"1773","4",DAC04,"4"
"175","4",DAC04,"4"
"177","4",DAC04,"4"
"180","4",DAC04,"4"
"1708","4",DAC04,"4"
"1896","4",DAC04,"4"
"193","4",DAC04,"4"
"141","5",DAC05,"5"
"147","5",DAC05,"5"
"1774","5",DAC05,"5"
"153","5",DAC05,"5"
"158","5",DAC05,"5"
"163","5",DAC05,"5"
"164","5",DAC05,"5"
"1735","5",DAC05,"5"
"168","5",DAC05,"5"
"173","5",DAC05,"5"
"1742","5",DAC05,"5"
"183","5",DAC05,"5"
"1700","5",DAC05,"5"
"189","5",DAC05,"5"
"197","6",DAC06,"6"
"200","6",DAC06,"6"
"1859","6",DAC06,"6"
"1876","6",DAC06,"6"
"213","6",DAC06,"6"
"222","6",DAC06,"6"
"230","6",DAC06,"6"
"232","6",DAC06,"6"
"233","6",DAC06,"6"
"243","6",DAC06,"6"
"244","6",DAC06,"6"
"246","6",DAC06,"6"
"262","6",DAC06,"6"
"1955","6",DAC06,"6"
"302","6",DAC06,"6"
"269","6",DAC06,"6"
"1586","6",DAC06,"6"
"1509","6",DAC06,"6"
"273","6",DAC06,"6"
"285","6",DAC06,"6"
"294","6",DAC06,"6"
"301","6",DAC06,"6"
"202","7",DAC07,"7"
"203","7",DAC07,"7"
"221","7",DAC07,"7"
"226","7",DAC07,"7"
"228","7",DAC07,"7"
"1705","7",DAC07,"7"
"267","7",DAC07,"7"
"1734","7",DAC07,"7"
"274","7",DAC07,"7"
"275","7",DAC07,"7"
"277","7",DAC07,"7"
"279","7",DAC07,"7"
"289","7",DAC07,"7"
"293","7",DAC07,"7"
"299","7",DAC07,"7"
"1945","8",DAC08,"8"
"209","8",DAC08,"8"
"214","8",DAC08,"8"
"216","8",DAC08,"8"
"225","8",DAC08,"8"
"252","8",DAC08,"8"
"263","8",DAC08,"8"
"1740","8",DAC08,"8"
"268","8",DAC08,"8"
"281","8",DAC08,"8"
"1960","8",DAC08,"8"
"668","8",DAC08,"8"
"296","8",DAC08,"8"
"297","8",DAC08,"8"
"307","9",DAC09-14,9/14
"308","9",DAC09-14,9/14
"310","9",DAC09-14,9/14
"312","9",DAC09-14,9/14
"313","9",DAC09-14,9/14
"317","9",DAC09-14,9/14
"321","9",DAC09-14,9/14
"353","9",DAC09-14,9/14
"327","9",DAC09-14,9/14
"331","9",DAC09-14,9/14
"335","9",DAC09-14,9/14
"356","9",DAC09-14,9/14
"589","9",DAC09-14,9/14
"339","9",DAC09-14,9/14
"340","9",DAC09-14,9/14
"736","9",DAC09-14,9/14
"342","9",DAC09-14,9/14
"1904","9",DAC09-14,9/14
"344","9",DAC09-14,9/14
"1581","9",DAC09-14,9/14
"345","9",DAC09-14,9/14
"1961","9",DAC09-14,9/14
"352","9",DAC09-14,9/14
"632","9",DAC09-14,9/14
"351","9",DAC09-14,9/14
"355","9",DAC09-14,9/14
"361","10",DAC10-11,10/11
"373","10",DAC10-11,10/11
"383","10",DAC10-11,10/11
"498","10",DAC10-11,10/11
